City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Shenkursk,RU,2022-09-21 20:55:46,62.1091,42.896,40.73,98,28,2.89,scattered clouds
143,Yermakovskoye,RU,2022-09-21 20:55:46,53.2831,92.4003,43.65,83,49,2.64,scattered clouds
144,Esperance,AU,2022-09-21 20:55:47,-33.8667,121.9,53.44,74,98,14.74,overcast clouds
145,Lompoc,US,2022-09-21 20:55:48,34.6391,-120.4579,78.94,63,40,10.36,scattered clouds
146,Narsaq,GL,2022-09-21 20:55:48,60.9167,-46.05,43.27,67,41,2.86,scattered clouds
147,Monkey Bay,MW,2022-09-21 20:55:49,-14.0728,34.9201,77.25,63,6,1.16,clear sky
148,Huangzhou,CN,2022-09-21 20:55:49,30.45,114.8,65.35,60,100,4.56,overcast clouds
149,Bilma,NE,2022-09-21 20:55:50,18.6853,12.9164,91.6,10,24,1.41,few clouds
150,Vertientes,CU,2022-09-21 20:55:50,21.2594,-78.1464,86.18,65,42,4.38,scattered clouds
151,Lebu,CL,2022-09-21 20:54:35,-37.6167,-73.65,50.56,72,52,6.89,broken clouds
152,Santa Fe,AR,2022-09-21 20:55:51,-31.6333,-60.7,62.87,51,87,8.95,light rain
153,Bac Lieu,VN,2022-09-21 20:55:51,9.285,105.7244,78.62,85,100,11.5,overcast clouds
154,Hobyo,SO,2022-09-21 20:55:52,5.3505,48.5268,76.69,92,80,21.72,broken clouds
155,Knysna,ZA,2022-09-21 20:55:52,-34.0363,23.0471,60.85,55,0,5.12,clear sky
156,Marsh Harbour,BS,2022-09-21 20:55:53,26.5412,-77.0636,84.22,72,2,17.67,clear sky
157,Tungor,RU,2022-09-21 20:55:53,53.3808,142.9564,45.55,87,98,11.3,overcast clouds
158,Arraial Do Cabo,BR,2022-09-21 20:54:25,-22.9661,-42.0278,71.56,83,75,8.05,broken clouds
159,Kisangani,CD,2022-09-21 20:55:54,0.5167,25.2,71.01,97,100,1.39,light rain
160,Cayenne,GF,2022-09-21 20:55:54,4.9333,-52.3333,84.24,65,0,6.91,clear sky
161,Broome,US,2022-09-21 20:55:55,42.2506,-75.833,79.7,65,73,3.0,broken clouds
162,Sawtell,AU,2022-09-21 20:55:55,-30.3833,153.1,64.42,82,100,21.85,light intensity shower rain
163,Moron,AR,2022-09-21 20:55:56,-34.6534,-58.6198,61.97,56,90,5.48,overcast clouds
164,Karratha,AU,2022-09-21 20:55:56,-20.7377,116.8463,69.87,34,0,6.42,light rain
165,Ariquemes,BR,2022-09-21 20:55:57,-9.9133,-63.0408,97.48,28,83,1.9,broken clouds
166,Flinders,AU,2022-09-21 20:55:57,-34.5833,150.8552,63.37,90,98,5.99,light rain
167,Bambanglipuro,ID,2022-09-21 20:55:58,-7.95,110.2833,76.05,90,100,9.84,overcast clouds
168,Camalu,MX,2022-09-21 20:55:58,30.85,-116.0667,78.37,55,7,15.99,clear sky
169,Gizo,SB,2022-09-21 20:55:59,-8.103,156.8419,77.47,73,100,2.13,overcast clouds
170,Peniche,PT,2022-09-21 20:55:59,39.3558,-9.3811,70.29,92,0,5.35,clear sky
171,Petropavlovsk-Kamchatskiy,RU,2022-09-21 20:56:00,53.0452,158.6483,48.79,57,75,6.71,broken clouds
172,Valley City,US,2022-09-21 20:56:00,46.9233,-98.0032,63.12,42,75,19.57,broken clouds
173,Chokurdakh,RU,2022-09-21 20:56:01,70.6333,147.9167,31.71,94,100,10.4,overcast clouds
