City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Puerto Lopez,CO,81.86,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
391,Hambantota,LK,79.0,few clouds,6.1241,81.1185,Bungalow 63
392,Sarankhola,BD,77.68,broken clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
393,Ribeira Brava,PT,75.0,scattered clouds,32.65,-17.0667,Hotel do Campo
398,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
399,Karur,IN,77.85,clear sky,10.95,78.0833,Hotel Valluvar
403,Kariba,ZW,80.26,few clouds,-16.5167,28.8,Caribbea Bay Hotel
404,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
406,Kelso,US,79.39,overcast clouds,46.1468,-122.9084,GuestHouse Kelso Longview
408,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
410,Lubao,PH,78.51,overcast clouds,14.9167,120.55,Hacienda Gracia
415,Abonnema,NG,77.29,light rain,4.7084,6.7931,Corper's Lodge Obonoma
423,Oneonta,US,79.29,broken clouds,42.4529,-75.0638,Hampton Inn Oneonta
426,Plainview,US,80.65,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
430,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
439,Sarangani,PH,82.6,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
442,Ende,ID,76.96,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
443,Nishihara,JP,78.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
444,Nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
446,Veraval,IN,78.21,overcast clouds,20.9,70.3667,Lords Inn Somnath
460,Araguari,BR,84.49,broken clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
461,Guane,CU,85.64,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
462,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
465,Kahului,US,84.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
468,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
474,Tevaitoa,PF,78.31,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
478,Coromandel,BR,81.97,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
485,Hirara,JP,79.48,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
511,Datia,IN,75.42,overcast clouds,25.6667,78.4667,Motel Hotel Resort
518,Pipar,IN,80.69,scattered clouds,26.3856,73.5378,Aadam Mansion
524,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
525,Mayumba,GA,75.13,overcast clouds,-3.432,10.6554,LIKWALE LODGE
528,Pizarro,CO,80.06,overcast clouds,4.9533,-77.366,Hotel Limonar
530,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
532,Tayu,ID,78.03,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
537,Waddan,LY,81.19,clear sky,29.1614,16.139,محل الشريف محمد العايب
551,Axim,GH,75.43,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
555,Vanimo,PG,76.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
556,Koumac,NC,75.36,scattered clouds,-20.5667,164.2833,Le Monitel
563,Upata,VE,80.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
566,Acapulco,MX,82.36,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
567,Laguna,US,78.3,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
570,Grand-Lahou,CI,75.13,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
572,Marzuq,YE,80.85,overcast clouds,14.4,46.4667,حيد القفلة
574,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
577,Lodi,US,79.03,clear sky,38.1302,-121.2725,Wine & Roses
582,Vila Franca Do Campo,PT,78.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
586,Jawhar,SO,76.28,broken clouds,2.7809,45.5005,Hotel Shabelle
591,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
596,Sulangan,PH,82.67,overcast clouds,11.1373,123.7228,Maia's Beach Resort
607,Itarema,BR,78.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
608,Tema,GH,77.41,light rain,5.667,-0.0166,Beulah Royale Hotel Tema
612,Kudahuvadhoo,MV,81.19,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
615,Culfa,AZ,78.67,overcast clouds,38.9558,45.6308,Hotel Araz
617,Bubaque,GW,77.2,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
622,San Policarpo,PH,77.31,overcast clouds,12.1791,125.5072,Agapita M. Nicart
624,Maragogi,BR,75.49,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
631,Alta Floresta,BR,78.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
632,Mecca,SA,84.96,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
635,Luwuk,ID,76.26,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
636,Kerema,PG,77.04,broken clouds,-7.9631,145.7785,Frena Lodge
